Using ffmpeg: /swst/apps/ffmpeg/4.3.2_gcc-8.5.0/bin/ffmpeg
=== Generating plots and animations ===
Saved plot to /storage/home/jxa5508/VLEO-DSMC/outputs/drag.png
Found 301 grid timesteps in dumps
Precomputing 301 frames with 8 worker(s)...
  grid frame 1/301 (step 0) done
  grid frame 2/301 (step 400) done
  grid frame 3/301 (step 200) done
  grid frame 4/301 (step 300) done
  grid frame 5/301 (step 700) done
  grid frame 6/301 (step 600) done
  grid frame 7/301 (step 100) done
  grid frame 8/301 (step 500) done
  grid frame 9/301 (step 800) done
  grid frame 10/301 (step 900) done
  grid frame 11/301 (step 1100) done
  grid frame 12/301 (step 1500) done
  grid frame 13/301 (step 1200) done
  grid frame 14/301 (step 1400) done
  grid frame 15/301 (step 1300) done
  grid frame 16/301 (step 1000) done
  grid frame 17/301 (step 1700) done
  grid frame 18/301 (step 1800) done
  grid frame 19/301 (step 1600) done
  grid frame 20/301 (step 2300) done
  grid frame 21/301 (step 2000) done
  grid frame 22/301 (step 2100) done
  grid frame 23/301 (step 2200) done
  grid frame 24/301 (step 2400) done
  grid frame 25/301 (step 2600) done
  grid frame 26/301 (step 1900) done
  grid frame 27/301 (step 2800) done
  grid frame 28/301 (step 3000) done
  grid frame 29/301 (step 2500) done
  grid frame 30/301 (step 2700) done
  grid frame 31/301 (step 3200) done
  grid frame 32/301 (step 2900) done
  grid frame 33/301 (step 3500) done
  grid frame 34/301 (step 3400) done
  grid frame 35/301 (step 3300) done
  grid frame 36/301 (step 3600) done
  grid frame 37/301 (step 3100) done
  grid frame 38/301 (step 3800) done
  grid frame 39/301 (step 3700) done
  grid frame 40/301 (step 3900) done
  grid frame 41/301 (step 4000) done
  grid frame 42/301 (step 4100) done
  grid frame 43/301 (step 4400) done
  grid frame 44/301 (step 4200) done
  grid frame 45/301 (step 4500) done
  grid frame 46/301 (step 4300) done
  grid frame 47/301 (step 4600) done
  grid frame 48/301 (step 4700) done
  grid frame 49/301 (step 4800) done
  grid frame 50/301 (step 5100) done
  grid frame 51/301 (step 5200) done
  grid frame 52/301 (step 5000) done
  grid frame 53/301 (step 4900) done
  grid frame 54/301 (step 5500) done
  grid frame 55/301 (step 5300) done
  grid frame 56/301 (step 5400) done
  grid frame 57/301 (step 5600) done
  grid frame 58/301 (step 5700) done
  grid frame 59/301 (step 5800) done
  grid frame 60/301 (step 6100) done
  grid frame 61/301 (step 5900) done
  grid frame 62/301 (step 6000) done
  grid frame 63/301 (step 6400) done
  grid frame 64/301 (step 6200) done
  grid frame 65/301 (step 6500) done
  grid frame 66/301 (step 6300) done
  grid frame 67/301 (step 6700) done
  grid frame 68/301 (step 6600) done
  grid frame 69/301 (step 6900) done
  grid frame 70/301 (step 6800) done
  grid frame 71/301 (step 7100) done
  grid frame 72/301 (step 7000) done
  grid frame 73/301 (step 7200) done
  grid frame 74/301 (step 7300) done
  grid frame 75/301 (step 7500) done
  grid frame 76/301 (step 7600) done
  grid frame 77/301 (step 7400) done
  grid frame 78/301 (step 7700) done
  grid frame 79/301 (step 7800) done
  grid frame 80/301 (step 7900) done
  grid frame 81/301 (step 8000) done
  grid frame 82/301 (step 8100) done
  grid frame 83/301 (step 8200) done
  grid frame 84/301 (step 8400) done
  grid frame 85/301 (step 8300) done
  grid frame 86/301 (step 8500) done
  grid frame 87/301 (step 8600) done
  grid frame 88/301 (step 8800) done
  grid frame 89/301 (step 8900) done
  grid frame 90/301 (step 8700) done
  grid frame 91/301 (step 9000) done
  grid frame 92/301 (step 9200) done
  grid frame 93/301 (step 9300) done
  grid frame 94/301 (step 9400) done
  grid frame 95/301 (step 9100) done
  grid frame 96/301 (step 9700) done
  grid frame 97/301 (step 9500) done
  grid frame 98/301 (step 9600) done
  grid frame 99/301 (step 9800) done
  grid frame 100/301 (step 9900) done
  grid frame 101/301 (step 10100) done
  grid frame 102/301 (step 10200) done
  grid frame 103/301 (step 10000) done
  grid frame 104/301 (step 10300) done
  grid frame 105/301 (step 10400) done
  grid frame 106/301 (step 10500) done
  grid frame 107/301 (step 10600) done
  grid frame 108/301 (step 10700) done
  grid frame 109/301 (step 10900) done
  grid frame 110/301 (step 11000) done
  grid frame 111/301 (step 11100) done
  grid frame 112/301 (step 10800) done
  grid frame 113/301 (step 11200) done
  grid frame 114/301 (step 11500) done
  grid frame 115/301 (step 11300) done
  grid frame 116/301 (step 11400) done
  grid frame 117/301 (step 12000) done
  grid frame 118/301 (step 11800) done
  grid frame 119/301 (step 11900) done
  grid frame 120/301 (step 11600) done
  grid frame 121/301 (step 11700) done
  grid frame 122/301 (step 12200) done
  grid frame 123/301 (step 12700) done
  grid frame 124/301 (step 12400) done
  grid frame 125/301 (step 12300) done
  grid frame 126/301 (step 12500) done
  grid frame 127/301 (step 12100) done
  grid frame 128/301 (step 12900) done
  grid frame 129/301 (step 12800) done
  grid frame 130/301 (step 12600) done
  grid frame 131/301 (step 13000) done
  grid frame 132/301 (step 13400) done
  grid frame 133/301 (step 13200) done
  grid frame 134/301 (step 13300) done
  grid frame 135/301 (step 13700) done
  grid frame 136/301 (step 13100) done
  grid frame 137/301 (step 13500) done
  grid frame 138/301 (step 13600) done
  grid frame 139/301 (step 13800) done
  grid frame 140/301 (step 14400) done
  grid frame 141/301 (step 14000) done
  grid frame 142/301 (step 14300) done
  grid frame 143/301 (step 14200) done
  grid frame 144/301 (step 14600) done
  grid frame 145/301 (step 13900) done
  grid frame 146/301 (step 14100) done
  grid frame 147/301 (step 14500) done
  grid frame 148/301 (step 14700) done
  grid frame 149/301 (step 14800) done
  grid frame 150/301 (step 15200) done
  grid frame 151/301 (step 15000) done
  grid frame 152/301 (step 15100) done
  grid frame 153/301 (step 14900) done
  grid frame 154/301 (step 15400) done
  grid frame 155/301 (step 15600) done
  grid frame 156/301 (step 15700) done
  grid frame 157/301 (step 15300) done
  grid frame 158/301 (step 15500) done
  grid frame 159/301 (step 15800) done
  grid frame 160/301 (step 16000) done
  grid frame 161/301 (step 16100) done
  grid frame 162/301 (step 16300) done
  grid frame 163/301 (step 16500) done
  grid frame 164/301 (step 16200) done
  grid frame 165/301 (step 15900) done
  grid frame 166/301 (step 16400) done
  grid frame 167/301 (step 16600) done
  grid frame 168/301 (step 16700) done
  grid frame 169/301 (step 16800) done
  grid frame 170/301 (step 17400) done
  grid frame 171/301 (step 17300) done
  grid frame 172/301 (step 17100) done
  grid frame 173/301 (step 16900) done
  grid frame 174/301 (step 17500) done
  grid frame 175/301 (step 17200) done
  grid frame 176/301 (step 17000) done
  grid frame 177/301 (step 17700) done
  grid frame 178/301 (step 17600) done
