SPARTA (24 Sep 2025)
Running on 96 MPI task(s)
Created orthogonal box = (-1 -0.5 -0.5) to (0.5 0.5 0.5)
Loaded NRLMSIS data: rho=6.524113695652e-11 nrho=1.887487e+15 T=1070.050217 vx=7754.9
MEAN FREE PATH = 1212.09285712342 m
MEAN MOLEC VEL = 1043.26587592037 m/s
CELL SIZE MUST BE LESS THAN 404.030952374473 m
MEAN COLL TIME = 1.16182546089137 s
MEAN TRANSIT TIME = 0.387275153630455 s
TIMESTEP MUST BE < 0.129091717876818 s
Created 45000000 child grid cells
  CPU time = 0.5096 secs
  create/ghost percent = 15.0417 84.9583
Balance grid migrated 43783125 cells
  CPU time = 1.32171 secs
  reassign/sort/migrate/ghost percent = 40.6136 0.749542 36.2066 22.4303
Reading surface file ...
  12 triangles
  -0.4475 0.4475 xlo xhi
  -0.28625 0.28625 ylo yhi
  -0.3395 0.3395 zlo zhi
  0.5725 min triangle edge length
  0.194364 min triangle area
  292332 = cells with surfs
  297720 = total surfs in all grid cells
  6 = max surfs in one grid cell
  171.75 = min surf-size/cell-size ratio
  292332 0 = cells overlapping surfs, overlap cells with unmarked corner pts
  1 tiny edges removed
  34508688 10198980 292332 = cells outside/inside/overlapping surfs
  292332 = surf cells with 1,2,etc splits
  1.15208888749427 1.1520888875 = cell-wise and global flow volume
  CPU time = 0.43816 secs
  read/check/sort/surf2grid/ghost/inout/particle percent = 1.46537 9.1417 10.6542 14.1848 64.554 57.032 0.00457139
  surf2grid time = 0.0621522 secs
  map/comm1/comm2/comm3/comm4/split percent = 32.2409 0 0 0 0 53.1521
0 = initial surface count in group ampt_xnorm
4 = final surface count in group ampt_xnorm
0 = initial surface count in group ampt_yznorm
8 = final surface count in group ampt_yznorm
Reading surface file ...
  64 triangles
  -0.4485 -0.4485 xlo xhi
  -0.000977 0.000977 ylo yhi
  -0.000977 0.000977 zlo zhi
  9.58782e-05 min triangle edge length
  4.67801e-08 min triangle area
  292336 = cells with surfs
  297976 = total surfs in all grid cells
  64 = max surfs in one grid cell
  0.0287635 = min surf-size/cell-size ratio
  292332 0 = cells overlapping surfs, overlap cells with unmarked corner pts
  2 tiny edges removed
  34508688 10198980 292332 = cells outside/inside/overlapping surfs
  292332 = surf cells with 1,2,etc splits
  1.15208888749427 1.1520888875 = cell-wise and global flow volume
  CPU time = 0.470869 secs
  read/check/sort/surf2grid/ghost/inout/particle percent = 0.424906 6.97505 9.66243 20.9905 61.9471 56.6384 0.00332895
  surf2grid time = 0.0988378 secs
  map/comm1/comm2/comm3/comm4/split percent = 57.5905 0 0 0 0 33.2987
particles per particle = 1887487
Creating particles ...
Created 768059258 particles
  CPU time = 8.91485 secs
flux check: expected nrho*vstream = 1.46372729363e+19 #/m^2/s
flux check (ion):     expected ne*vstream       = 7.02886609926e+15 #/m^2/s
flux check (neutral): expected (nrho-ne)*vstream = 1.46302440702007e+19 #/m^2/s
Memory usage per proc in Mbytes:
  particles (ave,min,max) = 977.312 0 1272
  grid      (ave,min,max) = 163.196 105.451 165.427
  surf      (ave,min,max) = 0.00956726 0.00956726 0.00956726
  total     (ave,min,max) = 1219.01 244.181 1516.18
Step CPU Np Natt Ncoll Nsreact c_Tbox c_drag c_drag_xnorm c_drag_walls c_ions[1] c_ions[6] c_probe_neut c_probe_ion 
       0            0 768059258        0        0        0    51205.674            0            0            0       360314            0            0            0 
     100    106.41604 774570232     1603       18      113    49625.058 0.0018635334 0.0015741842 0.00028934919       351921            0 1.4325314e+19            0 
     200    308.51293 794953677      969       11      134    48125.524 0.0018726732 0.0015817723 0.00029090088       350267            0 1.4772966e+19            0 
     300    443.29715 815677570     3890       47      132    46702.264 0.0018758418 0.0015844009 0.00029144091       348730            0 1.5394432e+19            0 
     400    629.26647 836765742     3388       32      125    45351.675   0.00187741 0.0015857729 0.00029163705       347518            0 1.4573981e+19            0 
     500    791.90219 858183397     4635       46      124    44069.767  0.001878322 0.0015865672 0.00029175481       346147            0 1.4647317e+19            0 
     600    1008.0725 879959966     7047       77      120    42853.353 0.0018789787 0.0015871197 0.00029185902       345248            0 1.4743453e+19            0 
     700    1191.0027 902085725     7606       67      100    41699.374 0.0018794012 0.0015874833 0.0002919179       344198            0 1.477169e+19            0 
     800    1425.6583 924557608     8028       95      112    40603.918 0.0018797507 0.0015877715 0.0002919792       343459            0 1.4603982e+19            0 
     900    1605.3658 947377040     9720      108      123     39564.27 0.0018800529 0.0015880211 0.00029203189       342419            0 1.4798865e+19            0 
    1000    1850.9595 970537808    10520      141      111    38577.773 0.0018802768 0.0015882178 0.00029205906       341855            0 1.4605267e+19            0 
    1100    2049.4316 994050922    12781      151      122    37642.093  0.001880401 0.0015883346 0.00029206641       341552            0 1.4214932e+19            0 
    1200    2311.0296 1017857865    14062      168      111    36752.527 0.0018805741 0.0015884797 0.00029209447       341193            0 1.427542e+19            0 
    1300    2521.8403 1041858086    13806      144      111    35905.464 0.0018806929 0.0015885672 0.00029212575       341473            0 1.443564e+19            0 
    1400     2819.535 1065939721    15379      156      125    35097.091 0.0018808047  0.001588667 0.00029213763       341604            0 1.4532489e+19            0 
    1500    3050.0397 1090047690    17163      176      143    34324.225 0.0018808791  0.001588724 0.00029215516       341419            0 1.4440027e+19            0 
    1600    3357.5551 1114162081    17951      211      116     33584.82 0.0018809562 0.0015887873 0.00029216893       341718            0 1.4359117e+19            0 
    1700    3598.7542 1138275527    18794      214      120    32876.884 0.0018810305 0.0015888547 0.00029217589       341618            0 1.4454502e+19            0 
    1800    3951.0322 1162382389    20799      216      110    32198.292 0.0018810948 0.0015889082 0.00029218662       341483            0 1.4439531e+19            0 
    1900    4165.4405 1186489125    21807      255      128    31546.886 0.0018811607 0.0015889723 0.00029218848       341572            0 1.4371415e+19            0 
    2000     4454.082 1210602996    23241      282      100    30921.924 0.0018812019 0.0015889977 0.00029220426       341602            0 1.4428255e+19            0 
    2100    4698.2408 1234706190    24087      296      111    30321.192 0.0018812465 0.0015890353 0.00029221125       341662            0 1.4466182e+19            0 
    2200    4958.1568 1258812219    24712      275      109    29743.386 0.0018812932  0.001589072 0.00029222122       342039            0 1.4453401e+19            0 
    2300    5233.4091 1282920772    25739      293      124    29187.365 0.0018813371 0.0015891068 0.00029223037       342140            0 1.4491048e+19            0 
    2400    5635.4846 1307035808    27299      303      117    28652.049 0.0018813644 0.0015891299 0.00029223455       342237            0 1.4478296e+19            0 
    2500    5916.3232 1331143050    28039      341      131    28135.891 0.0018813889 0.0015891491 0.00029223978       342214            0 1.4542186e+19            0 
